COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-01-20,15696081,7455224,134.465,63.867,6258261,53.613,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,7,2394357,20.512
Bonaire,XAA,AMRO,REPORTING,2023-01-20,41537,17460,198.599,83.481,15919,76.113,,,,8158,39.005
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2023-01-01,3121142,1691984,132.723,71.95,1427883,60.719,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6,502795,21.381
Brazil,BRA,AMRO,REPORTING,2023-01-20,500059803,186384123,235.256,87.686,169243998,79.622,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5,108244127,50.924
British Virgin Islands,VGB,AMRO,REPORTING,2023-01-20,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2022-11-25,1283392,450404,293.361,102.954,445929,101.932,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5,338987,77.486
Bulgaria,BGR,EURO,REPORTING,2023-01-08,4608942,2105767,66.3,30.292,2077453,29.885,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,828834,11.923
Burkina Faso,BFA,AFRO,REPORTING,2022-11-27,5117982,4366726,24.484,20.89,3335753,15.958,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2023-01-15,32265,31292,0.271,0.263,30699,0.258,Beijing CNBG - BBIBP-CorV,2021-10-18,1,287,0.002
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,2023-01-13,45407927,15248971,271.595,91.208,14614006,87.41,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7,10450639,62.508
Cameroon,CMR,AFRO,REPORTING,2023-01-15,4251876,3666816,16.017,13.813,3323604,12.52,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4,484663,1.826
Canada,CAN,AMRO,REPORTING,2023-01-20,93109444,32629660,246.699,86.454,31276065,82.868,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5,19681784,52.148
Cayman Islands,CYM,AMRO,REPORTING,2023-01-20,150816,61859,229.483,94.125,60589,92.193,Pfizer BioNTech - Comirnaty,2021-01-15,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,2023-01-15,2457192,2252721,50.876,46.642,2089053,43.254,"Bharat - Covaxin,SII - Covishield",2021-03-19,2,214090,4.433
Chad,TCD,AFRO,REPORTING,2023-01-15,6347672,6208632,38.644,37.798,6081324,37.023,Beijing CNBG - BBIBP-CorV,2021-06-04,1,1935632,11.784
Chile,CHL,AMRO,REPORTING,2023-01-20,64234238,18085381,336.02,94.608,17697648,92.579,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,5,15716079,82.213
China,CHN,WPRO,REPORTING,2022-11-29,3465113661,1307511577,235.516,88.869,1277356924,86.819,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8,804850776,54.704
Colombia,COL,AMRO,REPORTING,2023-01-20,90101737,42944647,177.077,84.399,36928012,72.575,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5,14634503,28.761
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2022-05-10,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,2021-05-17,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2023-01-20,12778229,4605172,250.843,90.402,4314443,84.695,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3,2832234,55.598
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-01-15,24277616,13388664,92.036,50.756,11966195,45.364,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,2554059,9.682
Croatia,HRV,EURO,REPORTING,2022-10-23,5357755,2317461,132,57.141,2244181,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6,954875,23.53
Cuba,CUB,AMRO,REPORTING,2023-01-20,37995485,10722617,335.453,94.667,10005790,88.339,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8684009,76.669
